(* LiveJournal data collected by Shirley Man from *)
(* http://www.livejournal.com/stats/stats.txt     *)
(* Number of new accounts on LiveJournal,         *)
(* day by day from 2000/1/1 to 2005/2/28          *)
(* Individual data are NOT labelled.              *)
data -          1519
data -          1949
data -          2274
data -          2057
data -          2008
data -          1938
data -          1614
data -          1477
data -          1871
data -          1593
data -          2012
data -          1890
data -          1848
data -          1760
data -          1472
data -          1894
data -          2267
data -          2147
data -          2099
data -          1989
data -          1646
data -          1597
data -          2058
data -          2061
data -          2048
data -          1967
data -          1757
data -          1557
data -          1547
data -          1764
data -          2069
data -          1918
data -          1923
data -          1878
data -          1642
data -          1571
data -          1831
data -          2010
data -          1940
data -          1774
data -          1799
data -          1474
data -          1402
data -          1669
data -          1922
data -          1638
data -          1840
data -          1737
data -          1575
data -          1397
data -          1762
data -          2045
data -          1889
data -          1755
data -          1896
data -          1722
data -          1668
data -          2000
data -          2292
data -          2205
data -          2215
data -          1878
data -          1796
data -          1720
data -          2055
data -          2327
data -          2297
data -          2201
data -          2172
data -          1852
data -          1717
data -          2093
data -          2160
data -          2275
data -          2397
data -          2340
data -          2016
data -          1731
data -          1997
data -          2315
data -          2146
data -          2384
data -          2100
data -          2050
data -          1797
data -          2031
data -          2408
data -          2241
data -          2237
data -          2101
data -          1642
data -          1759
data -          2104
data -          2535
data -          2475
data -          2474
data -          2386
data -          2087
data -          1810
data -          2131
data -          2499
data -          2458
data -          2505
data -          2324
data -          2029
data -          1648
data -          2172
data -          2521
data -          2561
data -          2554
data -          2417
data -          2059
data -          1840
data -          2314
data -          2354
data -          2547
data -          2532
data -          2644
data -          2192
data -          1913
data -          2306
data -          2754
data -          2674
data -          2494
data -          2532
data -          2319
data -          1998
data -          2288
data -          2560
data -          2612
data -          2596
data -          2333
data -          2095
data -          1931
data -          2201
data -          2523
data -          2324
data -          2567
data -          2402
data -          2161
data -          1967
data -          2311
data -          2497
data -          2343
data -          2266
data -          2257
data -          2032
data -          2005
data -          2223
data -          2631
data -          2553
data -          2409
data -          2212
data -          1941
data -          2082
data -          2511
data -          2355
data -          2353
data -          2255
data -          2122
data -          1871
data -          1919
data -          2436
data -          2273
data -          2229
data -          2131
data -          2088
data -          1795
data -          1807
data -          2365
data -          2590
data -          2337
data -          2292
data -          2089
data -          1808
data -          1914
data -          2497
data -          2466
data -          2249
data -          2081
data -          2019
data -          1870
data -          1854
data -          2356
data -          2296
data -          2475
data -          2352
data -          2064
data -          1785
data -          1755
data -          2371
data -          2543
data -          2483
data -          2256
data -          2231
data -          1837
data -          1713
data -          2460
data -          2634
data -          2502
data -          2215
data -          2126
data -          1916
data -          1818
data -          2379
data -          2356
data -          2367
data -          2329
data -          2101
data -          1447
data -          1793
data -          2505
data -          2577
data -          2795
data -          2421
data -          2459
data -          1963
data -          1862
data -          2434
data -          2707
data -          2715
data -          2624
data -          2363
data -          1947
data -          1875
data -          2559
data -          2760
data -          2594
data -          2637
data -          2429
data -          1972
data -          1916
data -          2423
data -          2618
data -          2344
data -          2219
data -          1866
data -          1905
data -          1960
data -          2502
data -          2969
data -          2802
data -          2664
data -          2687
data -          2268
data -          2248
data -          2738
data -          2928
data -          3081
data -          2839
data -          2671
data -         14842
data -         15432
data -         17630
data -         16591
data -         13782
data -         12122
data -         10513
data -          9432
data -          9468
data -         10035
data -         10893
data -         10680
data -          8012
data -          6657
data -          7423
data -          8364
data -          9852
data -         10541
data -         10251
data -          7565
data -          9951
data -         11121
data -         11139
data -         11163
data -         10616
data -          9790
data -         10007
data -          9745
data -          9213
data -          9467
data -         11109
data -         10626
data -         10777
data -         10311
data -         10402
data -          9570
data -          9428
data -         11476
data -         10893
data -         10639
data -         10252
data -         10228
data -          9494
data -         10126
data -         12188
data -         12128
data -         12051
data -         11518
data -         10407
data -          9839
data -         10047
data -         10961
data -         10802
data -         11010
data -         10212
data -         10004
data -          9962
data -          9851
data -         11492
data -         11105
data -         10192
data -          9873
data -          9535
data -          8550
data -          8858
data -         11170
data -         12301
data -         11958
data -         11500
data -         10603
data -          9763
data -         10196
data -         11083
data -         11093
data -         10109
data -          9911
data -          9791
data -          8656
data -          9171
data -          9919
data -         10105
data -         10492
data -         10232
data -          9661
data -          9062
data -          9527
data -         10421
data -         10371
data -         10842
data -         10122
data -          9838
data -          9089
data -          9759
data -         11287
data -         10738
data -         11521
data -         10648
data -         10340
data -          9316
data -          9577
data -         10130
data -         11306
data -         11048
data -         10602
data -         10050
data -          9065
data -          9606
data -         10824
data -         11024
data -         10975
data -         10288
data -          9222
data -          9102
data -          9285
data -         10683
data -         11127
data -         10689
data -         10725
data -         10733
data -         10072
data -          9881
data -         11357
data -         12474
data -         12448
data -         11522
data -         10840
data -          9661
data -          9366
data -         10857
data -         10723
data -         10795
data -         10708
data -         10251
data -          9485
data -          9650
data -         11826
data -         11916
data -         11940
data -         10941
data -          9836
data -          9070
data -          9247
data -         11203
data -         11250
data -         10605
data -         10611
data -          9681
data -          8687
data -          9259
data -         11111
data -         11145
data -         10883
data -         10706
data -          9573
data -          9234
data -          9412
data -         11117
data -         10685
data -          9929
data -         11253
data -         10437
data -          9504
data -          9782
data -         10753
data -         11347
data -         11350
data -         11083
data -         11337
data -          9772
data -          9320
data -         10333
data -         11207
data -         12429
data -         12082
data -         10999
data -          9955
data -          9912
data -         11351
data -         11953
data -         11624
data -         11141
data -         11526
data -         10511
data -          9782
data -         11498
data -         12520
data -         12170
data -         12306
data -         12141
data -         10964
data -         10021
data -         11889
data -         13117
data -         13100
data -          9864
data -          6876
data -          8720
data -          7426
data -         11063
data -         12065
data -         10466
data -          9021
data -         11282
data -         10061
data -          8909
data -          7661
data -         11968
data -         12945
data -         12954
data -         12452
data -         11165
data -         10180
data -         11746
data -         13310
data -         13000
data -         12829
data -         12345
data -         10759
data -          9661
data -         11592
data -         13609
data -         12770
data -         12991
data -         12274
data -         11497
data -         10005
data -         11813
data -         13483
data -         13492
data -         13268
data -         12631
data -         10768
data -         10289
data -         11964
data -         13412
data -         13061
data -         12885
data -         12205
data -         10909
data -          9943
data -         11396
data -         12830
data -         13149
data -         13022
data -         12814
data -         11750
data -         10664
data -         11817
data -         13084
data -         12428
data -         12486
data -         12041
data -         11052
data -         10983
data -         12036
data -         12636
data -         11938
data -         12013
data -         11842
data -         11001
data -         10963
data -         12008
data -         12583
data -         11406
data -         10907
data -         10716
data -         10234
data -         10428
data -         11364
data -         12089
data -          9277
data -         10582
data -          9263
data -          5514
data -         10100
data -         11377
data -         11307
data -         10510
data -         10251
data -         10388
data -          9368
data -          9933
data -         11414
data -         10721
data -         10176
data -         10126
data -          9596
data -          9070
data -          9626
data -         11015
data -         10519
data -         10621
data -          9209
data -          8995
data -          8721
data -          8901
data -          9954
data -         10039
data -         10179
